Total claims: 294

specimen | speaker | type | claimText (first 150 chars)
--- | --- | --- | ---
meta-ai | Mark Zuckerberg | utopian | As the pace of AI progress accelerates, developing superintelligence is coming into sight. I believe this will be the beginning of a new era for human
meta-ai | Mark Zuckerberg | identity | For our superintelligence effort, I'm focused on building the most elite and talent-dense team in the industry.
meta-ai | Alexandr Wang | transformation-framing | By reducing the size of our team, fewer conversations will be required to make a decision, and each person will be more load-bearing and have more sco
meta-ai | Alexandr Wang | sacrifice-justification | I recognize that org changes can be disruptive. But I truly believe that taking the time to get this structure right now will allow us to reach superi
meta-ai | Mark Zuckerberg | employee-deal | I think that 2026 is going to be the year that AI starts to dramatically change the way we work. As we navigate this, our north star is building the b
meta-ai | Mark Zuckerberg | employee-deal | We're starting to see projects that used to require big teams now be accomplished by a single very talented person.
meta-ai | Mark Zuckerberg | utopian | This is going to be a big year for delivering personal superintelligence, accelerating our business, building infrastructure for the future, and shapi
meta-ai | Mark Zuckerberg | utopian | Meta's vision is to bring personal superintelligence to everyone. We believe in putting this power in people's hands to direct it towards what they va
meta-ai | Mark Zuckerberg | direction-under-uncertainty | Being able to make a significantly larger investment here is very likely to be a profitable thing over, over some period.
meta-ai | Mark Zuckerberg | identity | I think we have the most talent-dense research effort in the industry and some of the early indicators look positive.
meta-ai | Mark Zuckerberg | direction-under-uncertainty | At Meta, we have the resources to build the massive infrastructure required, and the ability to deliver new technology to billions of people.
amazon-agi | Andy Jassy | sacrifice-justification | It's not financially driven, not AI-driven... it's culture.
amazon-agi | Beth Galetti | identity | As I shared in October, we've been working to strengthen our organization by reducing layers, increasing ownership, and removing bureaucracy.
amazon-agi | Andy Jassy | identity | It's culture.
amazon-agi | Andy Jassy | direction-under-uncertainty | Efficiency gains from AI would likely cause Amazon's corporate head count to fall in coming years.
amazon-agi | Beth Galetti | employee-deal | We're not trying to create a new rhythm of broad layoffs.
anthropic | Dario Amodei | identity | I started a company not because I was initially excited about selling things or business or any of that. I'd seen the way that some of the other compa
anthropic | Dario Amodei | identity | it felt like having at least one player that had a strong compass in how we do things could have positive effects on the ecosystem.
anthropic | Dario Amodei | identity | We would build things in a different way, we would deploy them in a different way, and above all, we would have a, again, sometimes short list of prin
anthropic | Dario Amodei | sacrifice-justification | we work on things like science and biomedical out of proportion to its immediate profitability.
anthropic | Dario Amodei | sacrifice-justification | Getting another $200 million from some coding startup would take an order of magnitude less effort than getting that contract.
anthropic | Dario Amodei | identity | the things we prioritize are things that we think are good, not necessarily things that feel good or that we think external buzz will be positive. We 
anthropic | Dario Amodei | utopian | in one or two or three years, I don't know exactly how long it's going to be, we'll have what I've described as a country of geniuses in a data center
anthropic | Dario Amodei | direction-under-uncertainty | every couple of weeks I get up in front of the organization and describe my vision, and I think one of the purposes of that is to keep people focused 
anthropic | Dario Amodei | employee-deal | I think what I'm trying to fight against is the idea of employees who join and they're like, 'Oh, I worked in this industry. I've worked at this kind 
anthropic | Dario Amodei | direction-under-uncertainty | up and down the organization, we want to make sure that when our finance people think about financial projections, they understand this. Not that ther
anthropic | Dario Amodei | direction-under-uncertainty | a big part of my job is keeping the coherence of the organization around this central thesis. Not that everyone has to believe the thesis, right? Ther
anthropic | Dario Amodei | employee-deal | It's like a mixture of true belief in the mission and belief in the upside of the equity. I think Anthropic has developed a reputation for doing what 
anthropic | Dario Amodei | identity | the idea that you have seven people who really carry the values of the company and project them to a wide set of people, it allows you to scale the co
anthropic | Dario Amodei | transformation-framing | I don't want to stop the reaction, I want to focus it. That's how I think about it.
eli-lilly | Dave Ricks | identity | Scale's bad. And I think our idea was three or 400 people, about right, with a focused mission allow for some deviation.
eli-lilly | Dave Ricks | employee-deal | We don't manage the budgets down to the nickel at these sites. And if you get good people, it's like let them do their thing, let them cook and let's 
eli-lilly | Dave Ricks | identity | There is a long list of pretty compelling inventions that came out of Lilly that were not sanctioned projects.
eli-lilly | Dave Ricks | identity | We have this allowable variation idea. Where skunk— ... basically you just turn away and see what happens.
eli-lilly | Dave Ricks | direction-under-uncertainty | We probably make three or four important decisions a year and they're all science.
eli-lilly | Dave Ricks | direction-under-uncertainty | We've been on this story for a long time and it was protein engineering and making better molecules that could be dosed higher that led us to get to m
eli-lilly | Dave Ricks | sacrifice-justification | They said, 'Don't. This is a threat to our model.' I don't care. We have a higher calling.
microsoft | Satya Nadella | identity | growth mindset or learn-it-all versus know-it-all has been super helpful for us as just a frame because nobody thinks of it as my dogma, right? Thank 
microsoft | Satya Nadella | direction-under-uncertainty | I don't have a utilization problem. I may have a PUE. I want higher utilization, mostly because it's memory bottleneck or what have you. But there is 
microsoft | Satya Nadella | identity | social cohesion is not a goal. Winning in the marketplace is a goal
microsoft | Satya Nadella | transformation-framing | We have to be fantastic at building what I'll call the token factory. This is the tokens per dollar per watt, really being super efficient at that.
microsoft | Satya Nadella | identity | the sovereignty that matters is your company's sovereignty in an age where there are continual learning increasing returns to a model
microsoft | Satya Nadella | identity | the future of a company is that company has its own foundation model that captures essentially the tacit knowledge that makes the transactional costs 
microsoft | Satya Nadella | transformation-framing | I am lingering around Teams channels and they're most helpful. In fact, if anything I learn the most there. I meet most people there.
microsoft | Satya Nadella | direction-under-uncertainty | One is to get the paradigm right. Then it's not clear. Even if you get the paradigm right, that you may not get what is the killer app or even the bus
microsoft | Satya Nadella | identity | Making sure that AI is getting diffused inside of the enterprise... not to just admire somebody else's AI factory or AI agent, but how to build your o
microsoft | Satya Nadella | direction-under-uncertainty | We have to use our knowledge to increase the ROIC on the capital spend.
microsoft | Satya Nadella | transformation-framing | The power is a lot more diffused and distributed... Micro-cultures and they can be shaped.
microsoft | Satya Nadella | transformation-framing | We will have access to OpenAI models...And we'll build our own models with MAI. So we will always have a model level. And then we'll build — whether i
microsoft | Satya Nadella | employee-deal | work and act like Individual Contributors in our own orgs, constantly learning and unlearning
microsoft | Satya Nadella | employee-deal | move with greater speed, rethink entrenched practices
microsoft | Satya Nadella | direction-under-uncertainty | Think in decades, execute in quarters.
servicenow | Bill McDermott | utopian | We need to have those 20th century org charts obliterated... we now need to work in teams. Teams need to work across processes, and the agents need to
servicenow | Bill McDermott | identity | AI Control Tower for the global enterprise.
shopify | Tobi Lutke | employee-deal | Before asking for more headcount or resources, teams must demonstrate why the work cannot be done with AI. What would this area look like if autonomou
shopify | Tobi Lutke | employee-deal | Reflexive AI usage is now a baseline expectation at Shopify.
shopify | Tobi Lutke | employee-deal | I use it as a thought partner, deep researcher, critic, tutor, or pair programmer.
shopify | Tobi Lutke | transformation-framing | It's the most rapid shift to how work is done that I've seen in my career, and I've been in this for a while.
